units,dropout_rate,batch_size,f1_score,accuracy
30,0.3,32,0.22999087354415682,0.3585542142391205
80,0.5,64,0.20448995609966614,0.29759037494659424
60,0.7,64,0.19951564903487617,0.3132530152797699
80,0.5,64,0.19832261358041262,0.3195180594921112
30,0.3,32,0.18487887232069658,0.31807228922843933
80,0.3,64,0.17649780930449321,0.26891565322875977
40,0.3,32,0.16247838181197702,0.26216867566108704
60,0.7,32,0.14991627079837955,0.24987952411174774
60,0.5,64,0.14470974781463639,0.22240963578224182
40,0.5,32,0.1422256045837355,0.2303614467382431
80,0.5,64,0.140854778969005,0.2636144459247589
80,0.3,32,0.13508023606398817,0.23493975400924683
80,0.3,64,0.13017866215228638,0.21445782482624054
80,0.7,64,0.11379298676375761,0.17542168498039246
40,0.7,64,0.11270606145237615,0.21228915452957153
40,0.7,32,0.10745383840999126,0.22771084308624268
30,0.7,64,0.10139759386745971,0.22771084308624268
60,0.7,32,0.07583588047326614,0.14072288572788239
80,0.7,32,0.07241371876757813,0.1554216891527176
80,0.7,32,0.041944292357298026,0.1387951821088791
