units,dropout_rate,batch_size,f1_score,accuracy
30,0.3,64,0.6310075736360191,0.7815709114074707
60,0.3,32,0.6287737460986631,0.7643630504608154
40,0.5,32,0.6209190299159307,0.7860116362571716
80,0.5,32,0.6001857998175938,0.7713016867637634
80,0.3,64,0.5999718923961049,0.770191490650177
30,0.5,32,0.592004073357184,0.7757424116134644
60,0.7,64,0.5837351191064456,0.7435470223426819
80,0.5,64,0.582098262137979,0.763252854347229
80,0.5,32,0.5819939874732717,0.7649181485176086
40,0.3,32,0.563396160073624,0.7529836297035217
40,0.7,32,0.5302237086919303,0.6611157655715942
40,0.7,64,0.5301644666804611,0.7496530413627625
60,0.7,32,0.4330106263990577,0.7196780443191528
30,0.7,32,0.43168743867627263,0.7285595536231995
60,0.7,64,0.42974100375788177,0.5878434777259827
80,0.7,64,0.42972479473940384,0.7291146516799927
80,0.5,32,0.41708739059288286,0.7044129967689514
80,0.7,64,0.40707911675719216,0.6774910092353821
60,0.7,32,0.3687008392267601,0.5817374587059021
60,0.3,64,0.36755755534730206,0.5706355571746826
